,value,label
6351,Ambiente,Ambiente
7204,Ambra Pasta Bar,Ambra Pasta Bar
6530,Ambrosia Restaurant & Cocktail Bar,Ambrosia Restaurant & Cocktail Bar
1526,American Bar,American Bar
454,Amerigo Vespucci,Amerigo Vespucci
197,Ametsa with Arzak Instruction,Ametsa with Arzak Instruction
7043,Amici,Amici
2957,Amici Coffee Deli,Amici Coffee Deli
9393,Amici Della Spagetti House,Amici Della Spagetti House
4679,Amici Miei,Amici Miei
7510,Amici Miei 2 Go,Amici Miei 2 Go
6618,Amici Miei 2 go,Amici Miei 2 go
3107,Amigos,Amigos
6887,Amigos Burger & Shakes,Amigos Burger & Shakes
5807,Amigos Mediterranean Restaurant,Amigos Mediterranean Restaurant
6447,Amigos Peri Peri,Amigos Peri Peri
5109,Amigos Restaurant Ltd,Amigos Restaurant Ltd
8765,Amir's,Amir's
11229,Amjadia Pak-Indian,Amjadia Pak-Indian
7833,Amorino Fulham Broadway,Amorino Fulham Broadway
4439,Amorino Goodge Street,Amorino Goodge Street
5418,Amorino Long Acre,Amorino Long Acre
9539,Amoul's,Amoul's
5384,Amphitheatre Restaurant,Amphitheatre Restaurant
7791,Amurg,Amurg
7112,Amuse Bouche,Amuse Bouche
5787,Ana's Croquetas,Ana's Croquetas
736,Anacapri,Anacapri
9020,Ananthapuri,Ananthapuri
6177,Anar Persian Kitchen,Anar Persian Kitchen
5860,Anarkali,Anarkali
7625,Anatolia,Anatolia
9261,Anatolia Ocakbasi,Anatolia Ocakbasi
5423,Anaya's Bar & Grill,Anaya's Bar & Grill
2743,Anchor & Hope,Anchor & Hope
11278,Anchor Bankside,Anchor Bankside
8491,AndPasta Wimbledon,AndPasta Wimbledon
5115,Andalucia Palace,Andalucia Palace
11171,Andalucia Tapas Restaurant,Andalucia Tapas Restaurant
9902,Anderson & Co,Anderson & Co
1956,Andi's,Andi's
3253,Andina,Andina
5652,Andrea's Restaurant,Andrea's Restaurant
3525,Andrew Edmunds,Andrew Edmunds
2170,Andrew's Restaurant,Andrew's Restaurant
636,Androuet,Androuet
2448,Andu Cafe,Andu Cafe
185,Andy's Greek Taverna,Andy's Greek Taverna
7961,Andy's Quality Fish,Andy's Quality Fish
2478,Anerley Arms,Anerley Arms
2698,Aneto Cafe,Aneto Cafe
1815,Angel Curry Centre,Angel Curry Centre
8506,Angel Delicatessen,Angel Delicatessen
10235,Angel Pub,Angel Pub
7187,Angel in the Fields,Angel in the Fields
1314,Angelo's Italian Eating Place,Angelo's Italian Eating Place
516,Angelus,Angelus
1726,Angie's Little Food Shop,Angie's Little Food Shop
201,Angler,Angler
1175,Anglo Restaurant,Anglo Restaurant
6367,Anglo Spice Grill,Anglo Spice Grill
1063,Angoletto Trattoria,Angoletto Trattoria
10047,Angus Steak House,Angus Steak House
3114,Angus Steakhouse,Angus Steakhouse
11398,Angus Steakhouse - Argyll St,Angus Steakhouse - Argyll St
11472,Angus Steakhouse - Praed St,Angus Steakhouse - Praed St
7480,Anh Dao Restaurant,Anh Dao Restaurant
6830,Ani Restaurant,Ani Restaurant
4812,Anima D'italia,Anima D'italia
1775,Anima Sarda Italian Restaurant,Anima Sarda Italian Restaurant
1091,Anima e Cuore,Anima e Cuore
6760,Anise - Bar,Anise - Bar
6008,Aniseed,Aniseed
555,Anjanaas,Anjanaas
9108,Anjappar Chetinad restaurant,Anjappar Chetinad restaurant
2352,Anjappar Chettinad Indian Restaurant,Anjappar Chettinad Indian Restaurant
7521,Anjoy Kitchen,Anjoy Kitchen
9217,Anmee,Anmee
6309,Annabel's,Annabel's
5370,Annapurna Restaurant,Annapurna Restaurant
1601,Anne-Marie at the Taste of the Taj,Anne-Marie at the Taste of the Taj
8134,Annex 3,Annex 3
5192,Annie's Barnes,Annie's Barnes
4080,Annie's Restaurant- Chiswick,Annie's Restaurant- Chiswick
2234,Anokha,Anokha
5554,Anokha Indian Bar Restaurant,Anokha Indian Bar Restaurant
8401,Anokha Indian Restaurant,Anokha Indian Restaurant
146,Antalya,Antalya
4337,Antepliler,Antepliler
2753,Antepliler Doner,Antepliler Doner
7856,Anthony's Delicatessen,Anthony's Delicatessen
11179,Antidote Wine Bar,Antidote Wine Bar
1341,Antipasto & Pasta Fresh Pasta,Antipasto & Pasta Fresh Pasta
7325,Antipodea,Antipodea
577,Antonio's Ristorante,Antonio's Ristorante
7052,Anuraag Tandoori Restaurant,Anuraag Tandoori Restaurant
7185,Anzu,Anzu
9128,Aobaba,Aobaba
5504,Apadana Restaurant,Apadana Restaurant
536,Apero,Apero
6192,Apex Restaurant and Bar,Apex Restaurant and Bar
650,Aphrodite Taverna,Aphrodite Taverna
4794,Apium Noodle Bar,Apium Noodle Bar
8930,Apni Haveli,Apni Haveli
1805,Apollo,Apollo
4907,Apollo Banana Leaf,Apollo Banana Leaf
1142,Apollo Restaurant,Apollo Restaurant
6911,Apostrophe,Apostrophe
6355,Appennino Pizzeria and Rotisserie,Appennino Pizzeria and Rotisserie
3687,Applebee's Fish,Applebee's Fish
2065,Apres Food Co.,Apres Food Co.
2868,Apricot Food,Apricot Food
2517,Apulia Cafe Ltd,Apulia Cafe Ltd
2313,Aqua Deli,Aqua Deli
3464,Aqua Kyoto,Aqua Kyoto
4144,Aqua Mediterranean Bar and Grill,Aqua Mediterranean Bar and Grill
3828,Aqua Nueva,Aqua Nueva
2777,Aqua Shard,Aqua Shard
11305,Aqua spirit,Aqua spirit
753,Aquavit,Aquavit
3305,Aquila Cafe,Aquila Cafe
4629,Aquum,Aquum
6552,Arabesque,Arabesque
1582,Arabian Garden,Arabian Garden
3562,Arabica Bar & Kitchen,Arabica Bar & Kitchen
317,Arancina,Arancina
7159,Arancini Brothers Dalston,Arancini Brothers Dalston
1260,Arancini Brothers Factory,Arancini Brothers Factory
8430,Arancini Brothers Old St,Arancini Brothers Old St
5092,Arang,Arang
8884,Arbil Restaurant,Arbil Restaurant
896,Arbina,Arbina
6773,Arbiter,Arbiter
4272,Arcadia Restaurant,Arcadia Restaurant
8998,Archibald's,Archibald's
359,Archipelago,Archipelago
8686,Archway Kebab,Archway Kebab
11374,Area 52,Area 52
4839,Arepa & Co,Arepa & Co
2941,Arepazo Bros,Arepazo Bros
3597,Arg Restaurant,Arg Restaurant
5609,Argan Restaurant,Argan Restaurant
11575,Argentine Steakhouse El Toro,Argentine Steakhouse El Toro
5374,Ariana Afghan & Persian,Ariana Afghan & Persian
4808,Ariana II,Ariana II
8897,Ariana Restaurant,Ariana Restaurant
8896,Arigato,Arigato
10376,Arirang,Arirang
4619,Ark Fish Restaurant,Ark Fish Restaurant
1021,Arlo's,Arlo's
679,Arment WJ & Son,Arment WJ & Son
1945,Army and Navy Club,Army and Navy Club
3795,Arnika,Arnika
10670,Aroma Buffet,Aroma Buffet
3819,Aroma Italia,Aroma Italia
6952,Aroma Spice,Aroma Spice
8290,Aroma Tandoori,Aroma Tandoori
1831,Aromas Tandoori Restaurant,Aromas Tandoori Restaurant
4531,Aromatic Delicatessen,Aromatic Delicatessen
5091,Aromi Restaurant,Aromi Restaurant
3647,Aromma,Aromma
1606,Arro Coffee -The Temple of Coffee,Arro Coffee -The Temple of Coffee
8428,Arsenal Fish Bar,Arsenal Fish Bar
8406,Arsenal Tavern,Arsenal Tavern
2218,Art Deli,Art Deli
10547,Art of Tapas,Art of Tapas
275,Artesian,Artesian
1958,Arthur Hooper's,Arthur Hooper's
2935,Arthur's Cafe,Arthur's Cafe
10496,Artigiano,Artigiano
6550,Artisan Grill,Artisan Grill
8104,Arts Depot cafe,Arts Depot cafe
4900,Artusi,Artusi
11138,Asadal,Asadal
5802,Asador Argentine Steaks and Burger,Asador Argentine Steaks and Burger
558,Asakusa,Asakusa
7175,Ashbee's Wine Bar,Ashbee's Wine Bar
7606,Ashburnham Arms,Ashburnham Arms
3802,Ashfield Cafe,Ashfield Cafe
2918,Asia de Cuba,Asia de Cuba
3134,Asian Restaurant,Asian Restaurant
6198,Asiatique Restaurant,Asiatique Restaurant
1166,Ask For Janice,Ask For Janice
3388,Ask Italian - London - Gloucester Arcade,Ask Italian - London - Gloucester Arcade
10782,Ask Italian - London - Grafton Way,Ask Italian - London - Grafton Way
10271,Ask Italian - London - Islington,Ask Italian - London - Islington
4677,Ask Italian - London - Park Street,Ask Italian - London - Park Street
4724,Ask Italian - London - Wigmore Street,Ask Italian - London - Wigmore Street
1966,Asmak albasha,Asmak albasha
6690,Asmara,Asmara
1923,Asoo's,Asoo's
2823,Aspendos Bar And Grill,Aspendos Bar And Grill
5731,Assa,Assa
3503,Assaggetti,Assaggetti
1009,Assaggi,Assaggi
3190,Assenheim 56,Assenheim 56
1410,Assenheims 56,Assenheims 56
2754,Assenheims bar and grill,Assenheims bar and grill
9705,Asta Luegos,Asta Luegos
2035,Aster Cafe,Aster Cafe
825,Aster Restaurant,Aster Restaurant
8523,"Astoria Cafe,Bar and Grill","Astoria Cafe,Bar and Grill"
2435,Astral Cafe,Astral Cafe
4207,At 192 Restaurant,At 192 Restaurant
10182,At Thai Canteen,At Thai Canteen
2797,At The Hampshire Lounge Bar,At The Hampshire Lounge Bar
2688,Atari-ya foods,Atari-ya foods
8351,Ates,Ates
8427,Atithi,Atithi
7035,Atlantico Restaurant and Bar,Atlantico Restaurant and Bar
2076,Atlantis,Atlantis
1628,Atlas,Atlas
7223,Atrium Bar & Cafe,Atrium Bar & Cafe
9076,Atrium Camden,Atrium Camden
9032,Atrium Kitchen,Atrium Kitchen
4515,Attendant Clerkenwell,Attendant Clerkenwell
1455,Attendant Shoreditch,Attendant Shoreditch
4916,Attilio's,Attilio's
5962,Au Lac - Highbury,Au Lac - Highbury
4465,Aubaine,Aubaine
6460,Aubaine - Hyde Park,Aubaine - Hyde Park
4568,Aubaine Brompton Cross,Aubaine Brompton Cross
11140,Aubaine Deli,Aubaine Deli
11267,Aubaine High Street Kensington,Aubaine High Street Kensington
10878,Aubaine Marylebone,Aubaine Marylebone
4582,Aubaine Mayfair,Aubaine Mayfair
7515,Auberge - St Christophers Place,Auberge - St Christophers Place
10964,Auberge - Waterloo,Auberge - Waterloo
4179,Audley,Audley
758,Augustine Kitchen,Augustine Kitchen
1051,Augustus Harris,Augustus Harris
9215,Aura Kitchen and Bar,Aura Kitchen and Bar
6651,Aurienna Caribbean Cookhouse,Aurienna Caribbean Cookhouse
729,Aurora,Aurora
847,Autograf,Autograf
1053,Autograf Grill,Autograf Grill
7832,Autumn Yard,Autumn Yard
7150,Avenue Bar & Lounge,Avenue Bar & Lounge
3692,Avenue Restaurant & Bar,Avenue Restaurant & Bar
5218,Aviary,Aviary
486,Avista,Avista
9179,Avo spice,Avo spice
339,Awesome Thai,Awesome Thai
7441,Axis Bar & Restaurant,Axis Bar & Restaurant
10743,Ay Caramba,Ay Caramba
10263,Aya,Aya
8478,Aya Express Lebanese,Aya Express Lebanese
10260,Aya Lebanese Cuisine,Aya Lebanese Cuisine
1348,Ayam Zaman,Ayam Zaman
10034,Ayanna's London,Ayanna's London
4446,Ayisha South Indian Restaurant,Ayisha South Indian Restaurant
3964,Azeri Cuisine,Azeri Cuisine
7009,Aziziye Halal,Aziziye Halal
8746,Azka,Azka
868,Azou,Azou
5895,Azteca,Azteca
3188,Azuma,Azuma
1496,Azzurri Pizzeria,Azzurri Pizzeria
1532,Azzurro,Azzurro
10972,Azzurro - London Bridge,Azzurro - London Bridge
11335,Azzurro - Waterloo,Azzurro - Waterloo
1843,B Bagel Bakery Bar,B Bagel Bakery Bar
260,B Bakery,B Bakery
4039,B Grill,B Grill
1081,B Street Deli,B Street Deli
2722,B'acino,B'acino
6850,BANK RESTAURANT,BANK RESTAURANT
5685,BAO Fitzrovia,BAO Fitzrovia
250,BAO Soho,BAO Soho
8443,BAYGO,BAYGO
9295,BBQ Express Wanstead,BBQ Express Wanstead
6451,BFI Stephen St Kitchen,BFI Stephen St Kitchen
768,BOBO Social,BOBO Social
5366,BOOM Burger,BOOM Burger
1644,BOnA Sourdough Pizza,BOnA Sourdough Pizza
3751,BRGR Co.,BRGR Co.
7545,BYOC ft James Cochran,BYOC ft James Cochran
7991,Baalbak Lebanes Restaurant,Baalbak Lebanes Restaurant
2583,Baalbakis Restaurant,Baalbakis Restaurant
2323,Baan Aim Thai,Baan Aim Thai
7172,Baan Thai,Baan Thai
1668,Baba's Cafe & Bar,Baba's Cafe & Bar
1465,BabaBoom,BabaBoom
3663,Babaji Istanbul Pide,Babaji Istanbul Pide
10087,Babble Mayfair,Babble Mayfair
4571,Babble-City,Babble-City
4023,Babel Cafe & Restaurant,Babel Cafe & Restaurant
9582,Babel Clapham Junction,Babel Clapham Junction
4438,Babette,Babette
6251,Babinodas,Babinodas
420,Babur Restaurant,Babur Restaurant
5407,Babur to Go,Babur to Go
1575,Bacaro,Bacaro
1745,Bacchus Lounge,Bacchus Lounge
7690,Bacchus Sundays,Bacchus Sundays
626,Bacco Restaurant and Wine Bar,Bacco Restaurant and Wine Bar
6327,Back In 5 Minutes The Disappearing Dining Club,Back In 5 Minutes The Disappearing Dining Club
8614,Backyard Bar,Backyard Bar
11563,Bad Egg,Bad Egg
3014,Bad Sports,Bad Sports
2233,Badolina,Badolina
2280,Bafta 195 Piccadilly,Bafta 195 Piccadilly
3472,Bag O' Nails,Bag O' Nails
8898,Bagel Factory,Bagel Factory
68,Baileys Fish and Chips,Baileys Fish and Chips
10472,Baiwei,Baiwei
2436,Bake Haus,Bake Haus
9574,Baker & Spice,Baker & Spice
10480,Baker & Spice - Belgravia,Baker & Spice - Belgravia
9666,Baker & Spice - Chelsea,Baker & Spice - Chelsea
2685,Baker and Spice,Baker and Spice
10270,Baku Bistro,Baku Bistro
807,Bala Baya,Bala Baya
9275,Balaio Brazilian Grill,Balaio Brazilian Grill
3152,Balans Soho Society,Balans Soho Society
414,Balans Soho Society - Kensington,Balans Soho Society - Kensington
1453,Balans Soho Society - Seven Dials Cafe,Balans Soho Society - Seven Dials Cafe
4293,Balans Soho Society - Stratford City,Balans Soho Society - Stratford City
4362,Balans Soho Society Cafe,Balans Soho Society Cafe
10641,Balans Soho Society Shepherd’s Bush,Balans Soho Society Shepherd’s Bush
11030,Bald Faced Stag,Bald Faced Stag
6837,Balham Arms,Balham Arms
10419,Balham Bowls Club,Balham Bowls Club
3868,Bali Bali,Bali Bali
8013,Balkan Bites,Balkan Bites
961,Balls & Company,Balls & Company
6510,Balls Brothers - Bury Court,Balls Brothers - Bury Court
10773,Balls Brothers - Hay's Galleria,Balls Brothers - Hay's Galleria
6933,Balls Brothers - Mark Lane,Balls Brothers - Mark Lane
5576,Balls Brothers - Mayfair Exchange,Balls Brothers - Mayfair Exchange
4291,Balls Brothers - Victoria,Balls Brothers - Victoria
1725,Balls Brothers Austin Friars,Balls Brothers Austin Friars
912,Balls Brothers Minster Court,Balls Brothers Minster Court
1683,Balls Brothers Shoe Lane,Balls Brothers Shoe Lane
2867,Balthazar,Balthazar
6432,Balti Hut,Balti Hut
2442,Balti Lounge,Balti Lounge
147,Baltic Restaurant & Bar,Baltic Restaurant & Bar
1727,Baluchi,Baluchi
11074,Bamboo Basket,Bamboo Basket
